n,r,m
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],(:Scan {name: Host Discovery})
(:Scan {name: Host Discovery}),[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -D,works_without_scan: true,name: Decoy Scan,description: Utilise adresses leurres pour masquer votre IP,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],(:Scan {name: Host Discovery})
(:Scan {name: Host Discovery}),[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -f,works_without_scan: true,name: Fragment Packets,description: Fragmente les paquets pour éviter filtres,category: evasion,requires_root: true})"
"(:PortRange {severity: high,protocol: TCP,service: Most common,name: 80,443,22,3389,445})",[:SPECIFIED_BY],"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})"
"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})",[:SPECIFIED_BY],"(:PortRange {severity: high,protocol: TCP,service: Most common,name: 80,443,22,3389,445})"
"(:PortRange {severity: varies,protocol: TCP,service: All ports,name: 1-65535})",[:SPECIFIED_BY],"(:Option {code: -p,works_without_scan: false,name: Port Specification,description: Spécifie les ports à scanner,category: port_specification,requires_root: false})"
